Year,ID,City,Internet Penetration Rate,Internet-Related Output,Internet Users,Internet-Related Employees,Digital Inclusive Finance Index,Digital Economy Index,Population,GDP,Urbanization Rate,City Size,City Development Level,Industry Agglomeration Level,Environmental Pollution Index,Low-Carbon City,Carbon Peak City,AI-Pilot City,AI Technology Level,Smart City,Intelligent Construction City,AI Enterprises,AI Infrastructure Index,Intelligent Manufacturing Proportion,AI Patents,Total Energy Consumption,AI Development Index
2000,1,北京市,8.9952728,2549.2162,31.126707,0.0,550.67,1787.294139,1107.53,3277.8,0.7754,1,1,0.03686131,0.055,0,0,0,0.0,0,0,312,0.052308664,0.01,310,288202.611,0.057481911
2001,1,北京市,9.7121982,2261.406,56.045621,0.0,586.37,1500.651494,1122.3,3664.581,0.7806,1,1,0.037434524,0.055,0,0,0,0.171251542,0,0,404,0.056634739,1.071441705,375,306794.8668,0.066158928
2002,1,北京市,28.419669,1973.5959,80.964534,0.0,612.86,1214.137485,1136.3,4097.001,0.7856,1,1,0.040422619,0.158,0,0,0,0.533688485,0,0,553,0.060960814,2.477560796,346,338786.7487,0.076056539
2003,1,北京市,34.644244,2164.81,96.524355,0.02558014,651.53,1405.844407,1148.82,4551.768,0.7907,1,1,0.041861905,0.158,0,0,0,0.896125427,0,0,726,0.065286889,3.159458393,421,360841.0098,0.084437404
2004,1,北京市,33.441242,2743.1657,114.87759,0.04361469,645.84,1984.45641,1162.89,5157.153,0.7952,1,1,0.0508375,0.16,0,0,0,1.3862944,0,0,901,0.069612964,3.427737996,377,421333.3298,0.089312291
2005,1,北京市,32.23824,3213.6631,123.63852,0.02848357,710.88,2454.926217,1180.7,5791.483,0.8362,1,1,0.053503747,0.132,0,0,0,1.7917595,0,0,1102,0.073939039,3.734859604,440,493464.7025,0.096062376
2006,1,北京市,33.007006,3920.3908,131.18744,0.04157341,717.09,3161.41762,1197.6,6532.793,0.8433,1,1,0.030582738,0.117,0,0,0,2.0794415,0,0,1337,0.066552468,3.551760665,598,518643.7849,0.098872738
2007,1,北京市,34.788306,5233.1495,131.73598,0.053639,779.62,4473.227809,1213.26,7473.516,0.845,1,1,0.033171653,0.121,0,0,0,2.6390573,0,0,1568,0.080698236,3.031350873,910,555204.4473,0.109273672
2008,1,北京市,33.836943,5801.654,124.33358,0.05858731,763.54,5041.018857,1299.85,8146.132,0.849,1,1,0.033944048,0.12,0,0,0,2.7725887,0,0,1858,0.085553753,3.007055731,1127,562043.8158,0.116769779
2009,1,北京市,40.529791,6957.1723,146.52079,0.05846452,788.59,6196.563814,1245.83,8960.745,0.8501,1,1,0.037739931,0.125,0,0,0,2.7080502,0,0,2220,0.097566632,4.050792886,1527,611826.8323,0.134099647
2010,1,北京市,43.374455,8481.7228,168.3654,0.06453459,832.56,7720.824379,1257.8,9892.663,0.8596,1,1,0.03940223,0.132,0,0,0,3.4657359,0,0,2577,0.112601653,5.810264674,2415,653803.5709,0.167293178
2011,1,北京市,40.955043,3414.0707,201.57289,0.0715702,855.02,2658.208304,1277.9,10693.97,0.8623,1,1,0.041795137,0.047,0,0,1,3.5553481,0,0,3002,0.08794327,6.220141163,2975,621863.9238,0.176036042
2012,1,北京市,44.084778,3761.1915,244.16185,0.07336214,1827.26,3006.710505,1297.5,11520.61,0.862,1,1,0.043714582,0.043,1,0,1,3.7612001,1,0,3445,0.097316275,7.102426809,2659,676330.4996,0.181278385
2013,1,北京市,40.64423,4512.7281,256.30935,0.07845884,1861.09,3758.121995,1316.3,12407.7,0.863,1,1,0.045231857,0.054,1,0,1,4.1743873,1,0,4003,0.104464516,9.57638162,5236,604891.3483,0.245006138
2014,1,北京市,41.472926,5155.0225,305.68472,0.08084909,3795.34,4401.818472,1333.4,13325.87,0.864,1,1,0.046058138,0.092,1,0,1,4.8121844,1,0,5029,0.112729305,11.15341056,6602,647305.5685,0.288188276
2015,1,北京市,36.574487,6864.1369,301.21915,0.08748627,3780.79,6109.449542,1345.2,14245.36,0.8651,1,1,0.047367302,0.051,1,0,1,5.2729996,1,0,6304,0.12732346,16.75635659,7001,660381.0047,0.336799408
2016,1,北京市,34.922964,10245.059,283.85913,0.08745531,4059.22,9487.170723,1363.0,15228.29,0.865,1,1,0.048231046,0.084,1,0,1,5.8081425,1,0,7855,0.147675813,21.07064168,7194,713935.9596,0.379451303
2017,1,北京市,39.882266,6442.4437,276.08536,0.09526869,4074.9,5687.140161,1359.0,16263.81,0.8645,1,1,0.04954644,0.087,1,0,1,6.0088132,1,0,9599,0.129311241,24.86747154,7344,587463.2379,0.409045806
2018,1,北京市,46.148256,4500.9637,291.35174,0.10256293,4299.08,3747.737614,1376.0,17353.48,0.865,1,1,0.04992699,0.06,1,0,1,6.4409465,1,0,11535,0.125224026,26.20277754,9956,591695.2583,0.475115919
2019,1,北京市,49.319971,4435.7502,287.75948,0.1085724,4333.26,3682.459026,1397.0,18412.04,0.866,1,1,0.048220463,0.038,1,0,1,6.8112444,1,0,14152,0.127762138,30.96446642,9756,604488.8948,0.51568718
2020,1,北京市,51.480835,2778.1509,256.43031,0.11458187,4384.83,2024.924469,1405.5,18614.58,0.8755,1,1,0.045090792,0.055,1,0,1,7.1276937,1,0,17465,0.133875089,33.97735936,12265,633870.1261,0.600184953
2021,1,北京市,75.456153,1120.5516,225.10113,0.12059134,4596.8,367.5457662,1414.0,20252.66,0.875,1,1,0.046283309,0.055,1,0,1,7.4910876,1,0,23432,0.134772926,40.79537905,10291,608373.8398,0.644009597
2000,2,天津市,1.4016451,470.26042,13.59442,0.0,328.22,-290.8269768,912.0,1591.67,0.875,1,1,0.016925336,0.192,0,0,0,0.0,0,0,75,0.030419583,0.01,66,228482.5944,0.045973688
